-0.63414,-1.871,-0.94302,-0.51527,-0.70356,-0.75129,-0.13881,-0.69154,-0.98677,0.51391,0.20309
-0.63414,-1.871,-1.1241,-0.51601,-0.55953,-0.73436,-0.13814,-0.38967,-0.98728,0.51546,0.17234
-0.63414,-1.871,-1.044,-0.51703,-0.57823,-0.4245,-0.11952,0.84044,-0.70665,0.51864,0.81763
-0.63401,-1.8705,-0.10501,-0.53058,-0.60417,0.87537,-0.063588,1.7328,0.62719,0.54928,1.3014
4.2163,-1.3698,-0.19398,-0.52735,-0.57591,1.2899,-0.049993,0.92958,0.96866,0.54356,0.85991
4.2186,-0.92387,0.088799,-0.52311,-0.477,3.7013,-0.012686,1.1835,3.1957,0.53759,0.86751
1.3934,-0.48669,0.46273,-0.52958,-0.51524,3.9886,-0.028518,1.3663,3.597,0.54928,1.006
0.79573,-0.26922,-0.58832,-0.51728,-0.80929,0.63652,-0.11379,0.79996,0.29626,0.51951,1.0986
0.34033,-0.0079288,-0.40347,-0.50728,-0.68824,1.1456,-0.084798,1.1507,0.78673,0.50135,1.1148
0.42726,0.14243,0.58806,-0.52437,-0.75573,1.1655,-0.069389,1.3843,1.1506,0.53635,1.3219
1.0952,0.048516,0.9285,-0.52735,-0.84613,-0.28694,-0.10895,0.96546,0.034785,0.53983,1.2328
-0.15235,0.36498,0.6849,-0.51108,-0.94707,-0.080957,-0.10098,0.75386,0.091678,0.50792,1.2676
-0.42286,0.38425,0.88686,-0.51663,-0.57569,0.29126,-0.10409,1.2483,0.52493,0.51881,1.0208
0.36819,0.58235,1.0236,-0.52512,-0.36719,1.1904,-0.10353,0.71694,1.3975,0.53585,0.50319
2.0629,0.50526,0.28405,-0.5171,-0.43517,2.9295,-0.05527,1.4104,2.584,0.52282,0.93257
1.5585,0.44794,0.015452,-0.50048,-0.3073,2.3833,-0.034351,1.8293,2.0023,0.491,0.99813
1.3826,0.57697,0.67038,-0.50619,-0.58062,0.8152,-0.081482,0.49731,0.87912,0.49941,0.64718
1.1683,0.73075,0.42862,-0.51993,-0.59538,0.48897,-0.11673,0.86758,0.47967,0.52463,0.85292
0.82306,0.95232,0.29453,-0.52437,-0.4997,0.59822,-0.10659,1.8092,0.5212,0.53436,1.2112
1.015,0.9624,0.46403,-0.52127,-0.59482,0.70735,-0.092308,1.7034,0.68853,0.52881,1.2748
0.27314,1.0148,0.27597,-0.51735,-0.48691,0.5675,-0.097492,1.1557,0.48669,0.52065,0.8653
0.20809,1.1286,0.29727,-0.51174,-0.49731,0.62458,-0.11367,0.59157,0.54567,0.50844,0.59265
0.15429,1.274,0.41253,-0.5106,-0.77119,0.50358,-0.11647,-0.018229,0.4857,0.506,0.63333
0.33252,1.0088,0.17673,-0.51589,-0.54392,0.0078105,-0.13186,-0.39275,-0.047344,0.5156,0.15163
0.54544,0.83983,-0.32965,-0.5144,-0.44663,-0.19318,-0.13701,-0.39522,-0.38234,0.51227,0.033007
0.53629,1.0667,-0.0089293,-0.51544,-0.52761,0.37064,-0.12112,0.045573,0.20991,0.51536,0.35333
0.50736,1.1132,0.63634,-0.51686,-0.58687,0.32416,-0.11802,-0.0072668,0.42744,0.51842,0.39977
0.10022,1.1583,0.65504,-0.51611,-0.66244,0.88064,-0.085446,-0.088554,0.92971,0.51894,0.45467
0.76988,1.0283,0.81112,-0.51812,-0.62251,0.77527,-0.087275,0.16679,0.91423,0.52287,0.53273
0.77207,1.2237,0.5293,-0.51899,-0.63777,0.21691,-0.11539,0.13751,0.28266,0.52282,0.53738
0.9015,1.0532,0.47061,-0.51621,-0.43735,0.32465,-0.11697,0.056202,0.35211,0.51717,0.25027
-0.088861,1.309,0.46198,-0.50683,-0.36347,2.5059,-0.075707,1.8374,2.2822,0.50103,1.0655
0.29077,1.4136,0.22022,-0.50768,-0.55348,2.5166,-0.07587,1.6329,2.1932,0.50269,1.1877
0.19505,1.4413,0.97226,-0.51658,-0.67545,-0.083502,-0.13341,-0.35683,0.2392,0.5169,0.3358
-0.6196,1.6669,0.95254,-0.51671,-0.63678,-0.32884,-0.13359,-0.15812,0.010865,0.51715,0.38666
-0.14052,1.4897,0.89871,-0.51291,-0.51503,1.7495,-0.035155,-0.14144,1.8241,0.51573,0.24329
0.11844,1.4542,1.0955,-0.51165,-0.26864,2.1714,-0.03253,-0.14702,2.3086,0.51334,-0.043948
0.04258,1.3735,0.96603,-0.51306,-0.21367,-0.004611,-0.13578,-0.31828,0.30575,0.50971,-0.18989
-0.63414,-1.1513,1.3144,-0.51447,-0.33514,-0.35315,-0.13853,-0.53936,0.20382,0.51232,-0.16857
-0.63414,-1.86,1.0582,-0.51428,-0.3338,-0.33473,-0.13828,-0.51352,0.06507,0.51195,-0.15693
0.94887,0.12286,0.67305,-0.51358,-0.30962,-0.38455,-0.1381,-0.36454,-0.18324,0.51058,-0.10877
0.53691,0.3688,1.0778,-0.5141,-0.27532,-0.42701,-0.13865,-0.42049,-0.005429,0.5116,-0.17494
0.59286,0.23409,0.81338,-0.51348,-0.42695,-0.43927,-0.13865,-0.37978,-0.1614,0.51036,0.01769
0.71947,0.23165,0.92282,-0.51316,-0.38913,-0.21967,-0.13832,-0.031254,0.091404,0.50973,0.14991
-0.63414,0.47807,1.4936,-0.51336,-0.36248,-0.22589,-0.13856,-0.087439,0.43413,0.51013,0.090969
-0.63414,0.3911,1.6018,-0.51289,-0.41394,-0.36273,-0.13892,-0.42763,0.38744,0.50914,-0.021768
-0.63414,0.73662,1.0339,-0.51251,-0.38997,-0.38121,-0.13869,-0.46187,0.0099874,0.50844,-0.066863
-0.11123,0.64711,1.2799,-0.5116,-0.37542,-0.47127,-0.13853,-0.40782,0.077249,0.5066,-0.056202
-0.37399,0.75305,1.3718,-0.51353,-0.32108,-0.4114,-0.13846,-0.35306,0.189,0.51048,-0.090146
-0.63414,0.83738,1.4856,-0.51539,-0.32298,-0.31898,-0.13851,-0.36058,0.34624,0.51421,-0.091739
-0.63414,0.83356,1.2811,-0.51279,-0.28544,-0.20753,-0.13865,-0.39404,0.3119,0.50894,-0.15044
-0.63414,0.84755,1.1719,-0.5113,-0.20186,-0.22765,-0.13861,-0.41928,0.22691,0.506,-0.25349
-0.63414,-0.14723,1.016,-0.51197,-0.21388,-0.09556,-0.13824,-0.28098,0.25303,0.50735,-0.1709
-0.63414,-1.871,1.106,-0.51383,-0.21212,-0.076049,-0.13823,-0.31258,0.32216,0.51108,-0.18867
-0.63414,-1.871,1.3283,-0.51569,-0.35489,-0.16154,-0.1383,-0.3061,0.38251,0.51478,-0.028263
-0.63414,-1.871,0.98151,-0.51696,-0.30182,-0.1287,-0.13856,-0.25364,0.20431,0.51732,-0.061226
-0.63414,-1.8027,0.97699,-0.51621,-0.37387,-0.32555,-0.13887,-0.44192,0.027324,0.5158,-0.075196
-0.63414,-0.12845,0.48204,-0.51534,-0.48311,-0.33277,-0.1389,-0.45274,-0.22576,0.51406,0.047344
-0.63414,-0.39414,0.5519,-0.5143,-0.4273,-0.30464,-0.13889,-0.4557,-0.16947,0.512,-0.020298
-0.63414,-0.36176,0.53122,-0.51393,-0.44389,-0.49425,-0.13897,-0.5922,-0.34695,0.5112,-0.069804
-0.63414,0.081679,0.68812,-0.51385,-0.2969,-0.40957,-0.13823,-0.60269,-0.19811,0.5111,-0.24332
-0.63414,-0.035809,0.42739,-0.51423,-0.34878,-0.43248,-0.13818,-0.60345,-0.33784,0.51187,-0.18548
-0.63414,0.016821,0.63894,-0.51385,-0.44607,-0.41643,-0.13892,-0.60316,-0.22795,0.5111,-0.072868
-0.63414,0.026604,0.76222,-0.51383,-0.40312,-0.47286,-0.13896,-0.56069,-0.21736,0.51105,-0.10166
-0.63414,0.090483,0.52183,-0.51527,-0.39742,-0.47988,-0.13896,-0.43458,-0.33845,0.51389,-0.044438
-0.63414,0.12991,0.55902,-0.51467,-0.45253,-0.4407,-0.13897,-0.5187,-0.28682,0.51272,-0.022381
-0.63414,0.051158,0.16612,-0.51604,-0.4931,-0.49883,-0.13871,-0.66606,-0.50039,0.51546,-0.048482
-0.63414,0.16062,0.37288,-0.51643,-0.45422,-0.47881,-0.13862,-0.57846,-0.40187,0.51628,-0.050688
-0.63414,0.33387,-0.25103,-0.50921,-0.77449,-0.2491,-0.13165,3.6361,-0.41147,0.50227,2.4858
-0.63414,0.51505,-1.2537,-0.50433,-1.0825,-0.4695,-0.12868,4.9788,-0.75888,0.49275,3.6024
-0.63414,0.18762,-1.1198,-0.51204,-0.79474,-0.6819,-0.13478,0.80034,-0.9405,0.50769,1.079
-0.63414,0.19956,-1.0924,-0.51663,-0.62568,-0.72196,-0.13809,-0.56124,-0.97413,0.51667,0.16866
-0.63414,0.47181,-1.1092,-0.51447,-0.6694,-0.74227,-0.1385,-0.45015,-0.99331,0.51232,0.28078
-0.63414,0.43894,-1.1112,-0.51323,-0.70849,-0.72218,-0.13826,-0.54273,-0.97564,0.50988,0.28495
-0.63414,0.55281,-1.1352,-0.51311,-0.68473,-0.73133,-0.1386,-0.70279,-0.98531,0.50963,0.17295
-0.63414,0.21981,-1.0926,-0.51408,-0.61344,-0.74377,-0.13857,-0.66607,-0.99348,0.51155,0.10004
-0.63414,0.32311,-1.0707,-0.51519,-0.65176,-0.73853,-0.13836,-0.59087,-0.9872,0.51381,0.18692
-0.63414,0.40969,-1.1015,-0.36229,-0.57394,-0.74197,2.1746,-0.26615,-0.99252,0.36268,0.25272
-0.63414,0.29709,-1.259,0.87483,0.76374,-0.74813,9.579,0.30766,-1.0061,-0.87427,-0.67863
-0.63414,0.42475,-1.4003,1.9579,1.9362,-0.76268,-0.13919,-0.84133,-1.0213,-1.9578,-1.6006
-0.63414,-0.14909,-1.4003,1.9579,1.9362,-0.76268,-0.13919,-0.84133,-1.0213,-1.9578,-1.6006
-0.63414,-1.871,-1.4003,1.9579,1.9362,-0.76268,-0.13919,-0.84133,-1.0213,-1.9578,-1.6006
-0.63414,-1.871,-1.4003,1.9579,1.9362,-0.76268,-0.13919,-0.84133,-1.0213,-1.9578,-1.6006
-0.63414,-1.871,-1.4003,1.9579,1.9362,-0.76268,-0.13919,-0.84133,-1.0213,-1.9578,-1.6006
-0.62652,-1.871,-1.4003,1.9579,1.9362,-0.76268,-0.13919,-0.84133,-1.0213,-1.9578,-1.6006
-0.58842,-1.871,-1.4003,1.9579,1.9362,-0.76268,-0.13919,-0.84133,-1.0213,-1.9578,-1.6006
-0.10743,-1.8689,-1.4003,1.9579,1.9362,-0.76268,-0.13919,-0.84133,-1.0213,-1.9578,-1.6006
4.0971,-0.97039,-1.4003,1.9579,1.9362,-0.76268,-0.13919,-0.84133,-1.0213,-1.9578,-1.6006
1.6343,-0.80804,-1.4003,1.9579,1.9362,-0.76268,-0.13919,-0.84133,-1.0213,-1.9578,-1.6006
0.25519,-0.54479,-1.4003,1.9579,1.9362,-0.76268,-0.13919,-0.84133,-1.0213,-1.9578,-1.6006
0.12696,-0.50566,-1.4003,1.9579,1.9362,-0.76268,-0.13919,-0.84133,-1.0213,-1.9578,-1.6006
-0.4163,-0.50997,-1.4003,1.9579,1.9362,-0.76268,-0.13919,-0.84133,-1.0213,-1.9578,-1.6006
-0.41183,-0.61914,-1.4003,1.9579,1.9362,-0.76268,-0.13919,-0.84133,-1.0213,-1.9578,-1.6006
-0.41183,-0.38642,-1.4003,1.9579,1.9362,-0.76268,-0.13919,-0.84133,-1.0213,-1.9578,-1.6006
-0.62476,-0.2926,-1.4003,1.9579,1.9362,-0.76268,-0.13919,-0.84133,-1.0213,-1.9578,-1.6006
-0.62554,-0.23479,-1.4003,1.9579,1.9362,-0.76268,-0.13919,-0.84133,-1.0213,-1.9578,-1.6006
-0.63414,-0.31138,-1.4003,1.9579,1.9362,-0.76268,-0.13919,-0.84133,-1.0213,-1.9578,-1.6006
-0.63261,-0.35619,-1.4003,1.9579,1.9362,-0.76268,-0.13919,-0.84133,-1.0213,-1.9578,-1.6006
-0.63414,-0.22109,-1.4003,1.9579,1.9362,-0.76268,-0.13919,-0.84133,-1.0213,-1.9578,-1.6006
