is_walking,median_fsr1,median_fsr2,mean_x,mean_y,mean_z,var_x,var_y,var_z,e_x,e_y,e_z
0,-0.17426,-2.1868,-1.0423,-0.068708,-0.63062,-1.84,-0.63213,-1.7899,-1.4612,0.028699,-1.5685
0,-0.17426,-2.1868,-1.0771,-0.23685,-0.64485,-1.8391,-0.63218,-1.7897,-1.4902,0.19158,-1.5731
0,-0.17426,-2.1868,-1.067,-0.14514,-0.63588,-1.8387,-0.63125,-1.7901,-1.4815,0.10274,-1.5702
0,-0.17426,-2.1868,-1.0112,0.1453,-0.65287,-1.839,-0.63094,-1.7901,-1.4351,-0.1712,-1.5754
0,-0.17426,-2.1868,-1.0185,0.0077218,-0.69275,-1.839,-0.62982,-1.7904,-1.4411,-0.045338,-1.5874
0,-0.17426,-2.1868,-1.0539,-0.0075642,-0.69505,-1.8399,-0.62982,-1.7896,-1.4708,-0.015723,-1.5874
0,-0.17426,-2.1868,-0.99522,0.038294,-0.67108,-1.6659,-0.62993,-1.7514,-1.3737,-0.074953,-1.5599
0,-0.17426,-2.1868,-1.1227,0.084152,-0.69714,-1.2267,-0.62947,-1.4861,-1.3597,-0.10457,-1.4214
0,-0.17397,-2.1866,-1.1764,0.068866,-0.7675,-1.165,-0.6212,-1.3952,-1.3871,-0.097164,-1.3894
0,4.8159,-1.8291,-1.182,0.11472,-0.76854,-1.5496,-0.61387,-1.6302,-1.4972,-0.14159,-1.5187
0,-0.1506,-1.628,-1.3269,0.084152,-0.66316,-1.7696,-0.61793,-1.7421,-1.677,-0.11197,-1.5525
0,-0.17426,-1.5479,-1.2961,-0.20628,-0.59253,-1.8083,-0.62186,-1.7669,-1.6624,0.17677,-1.5439
0,-0.17426,-1.4993,-1.3635,0.023008,-0.56072,-1.7807,-0.6109,-1.7361,-1.7097,-0.045338,-1.5158
0,7.068,-1.3252,-1.5781,-1.2457,-0.52778,-1.019,1.411,-0.45453,-1.6724,1.3244,-0.80142
1,4.4726,-1.1157,-0.26166,-0.46614,0.21476,-0.12341,1.7654,1.8329,-0.3111,0.53215,0.88235
1,-0.17426,-0.87238,-0.45536,0.83317,0.84928,0.47007,0.21551,2.9727,-0.32044,-0.80052,2.1205
1,-0.17426,-0.53996,-0.93453,-0.69543,0.48344,0.77346,0.43125,1.7397,-0.65141,0.69503,1.0632
1,-0.17426,-0.47971,1.3719,0.66502,1.0367,0.63364,0.49379,0.10887,1.4712,-0.61543,0.77437
1,-0.17426,-0.34977,0.89966,0.099438,0.75992,0.67886,0.14672,1.2168,1.0071,-0.097164,1.0575
1,-0.17426,-0.3417,0.14723,-0.94001,0.38168,0.090719,-0.21755,1.3397,0.12231,0.95417,0.75119
1,-0.17426,-0.15312,0.038615,0.0077218,1.1987,1.2052,0.0013229,0.47783,0.32783,-0.00091593,1.1867
1,-0.17426,-0.24432,-0.79426,-0.42029,0.28335,0.99246,0.30462,0.26704,-0.47158,0.4211,0.079007
1,-0.17426,-0.47746,0.37026,-1.5515,0.19523,0.47613,2.9894,0.70609,0.43793,1.6945,0.24914
1,-0.17426,0.012587,0.6142,-3.3858,1.08,0.35719,4.9638,0.90156,0.63879,3.5455,1.2639
1,-0.17426,0.13642,0.10163,-1.8572,0.75208,-0.76259,2.0176,0.1855,-0.15495,1.8426,0.48325
1,-0.17426,-0.054218,1.1776,0.71088,1.7317,0.45049,-0.28478,0.46414,1.2227,-0.70427,1.9745
1,-0.17426,-0.04005,1.1433,0.58859,2.0007,1.2376,-0.22224,0.50276,1.4048,-0.57841,2.4579
1,-0.17426,-0.12945,0.80296,0.55802,1.2108,0.70901,-0.21442,0.58491,0.92005,-0.54879,1.2619
1,-0.17426,0.1028,0.66008,-0.35914,1.8865,1.0589,0.26866,0.46128,0.87667,0.36927,2.2339
1,-0.17426,0.057243,-0.25469,-2.1629,1.3324,0.62545,2.0742,0.30985,-0.098899,2.2128,1.2792
1,-0.17426,-0.0076783,1.1755,-0.35914,1.4942,0.48681,1.8425,0.40467,1.2307,0.4285,1.5677
1,-0.17426,0.27183,1.3681,1.0472,1.8815,0.039798,-0.16283,-0.086084,1.3041,-1.0226,1.925
1,-0.17426,0.24367,-0.0069787,2.0866,1.1758,-0.16484,0.14672,-0.62711,-0.090892,-2.0221,0.55027
1,-0.17426,0.32312,0.32757,2.3159,1.4012,0.23316,0.085746,0.21268,0.3305,-2.2442,1.3248
1,-0.17426,0.33469,0.022062,-0.191,0.7146,0.1198,-0.53429,0.65398,0.014206,0.15456,0.69974
1,-0.17426,0.1557,0.82532,1.1083,0.91085,0.58913,0.02321,0.73337,0.90904,-1.0745,0.96396
1,-0.17426,0.29281,0.57993,1.842,0.78458,0.32123,0.060732,0.85456,0.59575,-1.7852,0.88596
1,-0.17426,0.21139,0.58167,0.75674,0.5061,-0.065843,-0.40203,0.023245,0.49098,-0.7561,0.14322
1,-0.17426,0.28429,1.8075,0.32873,1.3702,-0.29671,-0.52241,-0.73664,1.6707,-0.34889,0.75903
1,-0.17426,0.46991,0.37955,0.17587,0.58192,0.3115,-0.41766,0.30025,0.40123,-0.19341,0.36886
1,-0.17426,0.40086,0.75707,1.1389,0.50354,1.1006,-0.11124,0.61628,0.98277,-1.1041,0.46603
1,-0.17426,0.58558,1.1244,0.63445,0.8755,-0.048869,-0.28478,-0.59421,1.0315,-0.63023,0.19466
1,-0.17426,0.61993,0.96326,0.2523,0.95902,-0.50122,-0.59917,-0.60943,0.74522,-0.27485,0.28508
1,-0.17426,0.35181,1.3138,0.23701,1.1826,0.12016,0.60792,-0.4106,1.2707,-0.20822,0.67811
0,-0.17426,-1.3023,-0.18587,0.5733,-0.35558,-0.3995,0.84868,0.54332,-0.31844,-0.51918,-0.18229
0,-0.17426,-1.2715,-1.4445,1.0166,-1.5309,-1.5068,-0.37702,-1.0365,-1.6997,-1.0078,-1.2074
0,-0.17426,-1.0201,-1.6663,1.1389,-1.6112,0.065555,0.093563,-0.68361,-1.4438,-1.1041,-0.99605
1,-0.17426,-0.3278,-0.48905,-1.2457,-0.096215,1.3925,0.9159,2.1571,-0.09623,1.2503,0.84258
1,-0.17426,-0.25481,1.0687,-2.1629,0.86253,0.03956,0.32494,0.68085,0.99979,2.0647,0.8788
1,-0.17426,-0.37147,2.3279,-0.083994,0.87294,0.45381,-0.067466,1.2433,2.4411,0.073121,1.1993
1,-0.17426,0.025052,1.3358,-0.60372,0.82676,1.0297,-0.1472,1.5402,1.5433,0.56917,1.3093
1,-0.17426,-0.062736,0.49658,0.43573,0.58962,-0.068691,-0.054959,0.21442,0.40824,-0.42293,0.32943
1,-0.17426,-0.070448,1.8984,1.2459,1.3234,-0.36104,-0.07372,-0.37218,1.7502,-1.2077,0.89237
1,-0.17426,0.068632,1.59,0.54273,1.0251,-0.48211,-0.49052,-0.61761,1.3905,-0.54879,0.36153
1,-0.17426,0.0022752,0.9107,0.099438,0.25014,-0.44567,-0.32386,-0.3968,0.70852,-0.11197,-0.31225
1,-0.17426,0.23255,1.2386,0.51216,0.40976,-0.50241,-0.30823,-0.16333,1.0225,-0.50437,-0.04815
1,-0.17426,0.34715,1.0849,0.52745,0.63536,-0.61434,-0.39578,-0.34643,0.83597,-0.53398,0.068306
1,-0.17426,0.2573,0.80615,0.29816,0.24558,-0.47962,-0.42235,-0.47548,0.59575,-0.31187,-0.359
1,-0.17426,0.3736,0.4629,0.05358,0.47902,-0.52935,-0.50834,-0.4907,0.24942,-0.074953,-0.16415
1,-0.17426,0.44749,-0.0090115,0.16058,0.39508,-0.70325,-0.50881,-0.57725,-0.24103,-0.17861,-0.28821
1,-0.17426,0.49448,0.6261,0.68031,0.29817,-0.059789,-0.55681,-0.58675,0.53569,-0.68206,-0.37697
1,-0.17426,0.61778,0.76521,0.29816,0.51266,-0.078662,-0.60136,-0.31874,0.66614,-0.31928,-0.038078
1,-0.17426,0.54209,0.078691,0.61916,-0.07193,-0.96201,-0.42548,-0.61853,-0.23136,-0.61543,-0.66459
1,-0.17426,0.63024,1.127,1.2153,0.5852,-0.051599,-0.3989,0.52718,1.0335,-1.2003,0.49659
1,-0.17426,0.64557,0.938,0.75674,0.52962,0.55791,-0.56681,0.70292,1.0121,-0.7561,0.53848
1,-0.17426,0.57267,1.2754,0.77202,0.44995,0.075051,-0.56744,-0.28308,1.2187,-0.7709,-0.077221
1,-0.17426,0.74215,1.2345,0.58859,0.38354,0.29084,-0.56228,-0.41928,1.2367,-0.59321,-0.21182
1,-0.17426,0.74556,0.037453,0.58859,-0.44443,-0.32899,-0.55133,-0.70497,-0.095229,-0.59321,-0.90603
1,-0.17426,0.8589,0.61187,0.45102,-0.16712,-0.2954,-0.55978,0.020486,0.45695,-0.45995,-0.37119
1,-0.17426,0.92687,-0.054605,-0.25214,-0.69306,0.90522,-0.5271,0.75125,0.16001,0.21379,-0.19345
1,-0.17426,0.88652,-0.42284,-0.49672,-0.85684,0.62367,-0.52773,0.62067,-0.24937,0.45812,-0.30264
1,-0.17426,0.80357,-0.72631,-0.32857,-1.0382,-0.060976,-0.58432,-0.03939,-0.70313,0.29523,-0.68868
1,-0.17426,0.80124,-0.30726,-0.0075642,-0.63937,0.81109,-0.53179,0.07045,-0.094896,-0.023127,-0.55117
1,-0.17426,0.87262,-0.5692,-0.512,-0.85416,0.69702,-0.463,0.28083,-0.35814,0.48033,-0.48856
1,-0.17426,0.88168,-0.57966,-0.068708,-0.78126,-0.099078,-0.50396,0.45627,-0.58635,0.043506,-0.37737
1,-0.17426,0.85854,-0.17628,0.45102,-0.41683,-0.21659,-0.52835,0.51615,-0.25972,-0.45995,-0.22469
1,-0.17426,0.95458,-0.4028,0.13001,-0.82997,-0.081748,-0.52085,0.30321,-0.42587,-0.15639,-0.47163
1,-0.17426,0.99323,-0.68246,-0.25214,-1.0009,-0.2611,-0.58338,-0.22719,-0.72048,0.2212,-0.78826
1,-0.17426,1.0423,-1.1157,-0.42029,-1.1061,-0.26359,-0.57572,-0.48835,-1.0888,0.37667,-0.93911
1,-0.17426,1.1528,-1.245,-0.038136,-1.1998,0.12799,-0.56822,-0.12982,-1.0878,0.0064878,-0.74402
1,-0.17426,1.0355,-0.89271,-1.3986,-1.2624,-0.30917,0.10763,-0.46833,-0.91366,1.3244,-0.92795
1,-0.17426,0.9483,-0.71556,-1.5515,-0.89466,-0.28519,0.098253,-0.72704,-0.75551,1.5465,-1.0483
1,-0.17426,0.94525,-1.1491,0.26758,-0.92475,0.12799,-0.55743,-0.091704,-1.0087,-0.28226,-0.70448
1,-0.17426,1.0486,-0.3119,0.68031,-0.39672,0.20918,-0.55618,0.52064,-0.26472,-0.68946,-0.21342
1,-0.17426,1.0591,-0.62293,0.71088,-0.6699,0.58046,-0.5432,0.67973,-0.43688,-0.71167,-0.22618
1,-0.17426,1.0686,-0.50008,0.68031,-0.55614,0.53773,-0.521,0.64305,-0.34146,-0.68206,-0.20976
1,-0.17426,1.0672,0.060105,0.32873,-0.3462,-0.19154,-0.49255,-0.088128,-0.036508,-0.33408,-0.52416
1,-0.17426,1.0648,0.57064,-0.038136,-0.19752,0.003239,-0.50475,-0.25723,0.49932,0.013892,-0.54064
1,-0.17426,1.1339,0.44141,0.43573,-0.33641,0.16206,-0.52366,-0.034792,0.41891,-0.44514,-0.49028
1,-0.17426,1.1821,0.071721,0.1453,-0.74747,0.31885,-0.47238,-0.39752,0.11497,-0.1638,-0.83759
1,-0.17426,1.1771,-0.049378,-0.16042,-0.69487,1.1127,-0.48223,-0.021713,0.22173,0.13235,-0.61784
1,-0.17426,1.0963,0.35022,0.78731,-0.46994,0.72955,-0.55571,0.16956,0.48865,-0.79312,-0.43689
0,-0.17426,-0.24369,-0.17367,-3.0801,-0.9696,3.7137,1.4476,1.6345,0.82429,3.1012,0.23621
0,-0.17426,-0.85498,-2.5863,-3.5386,-2.9389,2.8418,1.4328,0.7207,-1.3711,3.4714,0.59153
0,-0.17426,0.69812,-2.7269,-1.2457,-3.5,1.4813,2.9791,0.82543,-1.8452,1.3244,1.293
1,-0.17426,0.93091,-1.0585,-1.3986,-1.8355,2.6385,3.6201,3.0298,-0.24203,1.4724,1.1087
1,-0.17426,1.0077,-0.07987,0.038294,-0.77821,0.013922,-0.022128,0.10621,-0.1049,-0.037935,-0.56164
